item,x_coor,y_coor
1,781.18,971.69
2,237.38,918.36
3,994.11,224.86
4,212.33,714.51
5,979.01,899.66
6,407.45,633.5
7,644.42,306.5
8,293.57,472.21
9,88.7,29.51
10,819.69,236.82
11,45.35,318.12
12,144.61,821.12
13,893.05,39.82
14,744,296.64
15,168.65,754.13
16,802.26,679.9
17,392.12,883.87
18,297.32,346.33
19,937.69,875.16
20,569.91,504.39
21,650.42,589.54
22,452.29,333.03
23,354.24,562.28
24,382.44,104.63
25,700.55,507.33
26,245.63,546.86
27,262.95,804.78
28,897.2,824.33
29,30.96,330.86
30,202.48,752.88
31,106.44,974.77
32,768.97,233.12
33,903.28,765
34,604.8,404.08
35,323.08,824.65
36,795.6,807.96
37,653,540.36
38,646.54,182.19
39,568.95,755.13
40,100.53,542.56
41,637.51,954.96
42,630.29,2.68
43,296.68,965.84
44,818.44,350.19
45,649.03,197.84
46,615.26,617.28
47,512.69,8.59
48,594.73,439.52
49,629.2,252.48
50,620.9,163.27
51,283.54,243.63
52,276.13,243.91
53,990.46,532.6
54,28.75,137.68
55,389.14,563.81
56,798.4,640.06
57,64.95,541.08
58,586.54,604.98
59,447.21,199.67
60,284.71,619.11
61,415.7,295.78
62,784.15,875.14
63,376.87,913.14
64,823.39,863.73
65,113.84,967.56
66,711.78,441.97
67,461.92,216.36
68,489.61,691.28
69,196.86,476.18
70,250.3,807.03
71,527.01,653.96
72,637.21,792.95
73,638.16,6.77
74,538.5,488.59
75,428.92,178.5
76,28.89,936.1
77,318.73,715.28
78,107.03,293.78
79,375.13,507.78
80,598.9,489.86
81,88.9,79.14
82,813.38,89.38
83,526.21,792.49
84,126.32,485.77
85,657.76,941.52
86,393.48,899.78
87,726.68,821.82
88,585.28,709.25
89,936,15.36
90,546.94,52.22
91,238.63,809
92,188.99,271.25
93,559.09,665.77
94,874.64,134.22
95,917.2,674.95
96,96.04,970.07
97,40.18,763.38
98,957.64,689.38
99,802.78,610.8
100,445.87,917.31
101,332.72,24.64
102,748.7,229.9
103,889.67,2.41
104,733.01,46.2
105,118.9,257.74
106,376.62,36.07
107,703.56,673.38
108,100.96,794.99
109,812.94,231.71
110,9.79,458.89
111,241.74,253.34
112,13.04,870.19
113,408.03,897.08
114,974.99,139.01
115,157.07,76.2
116,873.25,648.52
117,707.64,431.6
118,105.13,752.26
119,932.57,435.78
120,554.88,281.08
121,510.14,509.19
122,769.22,272.64
123,543.23,297.76
124,194.33,861.39
125,45.87,261.8
126,350.44,647.84
127,967.05,49.85
128,343.36,668.69
129,742.26,756.74
130,806.21,585.67
131,876.4,436.2
132,123.29,602.23
133,963.95,733.4
134,201.13,596.47
135,800.12,967.09
136,225.61,122.04
137,157.99,418.93
138,4.46,496.26
139,825.97,833.34
140,20.12,522.86
141,547.88,869.86
142,97.29,661.39
143,172.6,748.83
144,308.9,774.56
145,139.9,115.95
146,930.08,356.51
147,680.22,650.52
148,926.95,166.79
149,906.44,35.46
150,168.36,406.26
151,455.31,233.32
152,553.95,880.71
153,19.85,528.51
154,834.8,77.22
155,218.72,43.68
156,280.19,372.38
157,475.15,953.26
158,865.91,937.81
159,692.11,672.07
160,774.32,588.11
161,37.4,613.51
162,256.72,47.25
163,132.13,186.98
164,294.22,849.88
165,291.51,724.48
166,542.18,207.98
167,207.36,348.21
168,726.67,422.56
169,515.12,841.42
170,410.56,8.86
171,157.04,303.42
172,465.87,309.9
173,322.75,477.49
174,943.32,688.88
175,254.05,993.37
176,44.53,229.14
177,483.25,449.23
178,608.3,556.04
179,300.12,228.18
180,295.44,203.22
181,479.51,764.74
182,123.87,215.71
183,851.36,951.31
184,206.57,150.05
185,267.45,202.82
186,270.69,605.08
187,283.99,362.75
188,341.56,97.39
189,666.54,610.28
190,758.65,672.34
191,272.29,336.04
192,604.08,106.75
193,331.81,730.42
194,605.92,374.81
195,534.21,27.64
196,917.17,472.93
197,251.08,966.71
198,710.93,620.84
199,997.12,952.22
200,887.69,219.11
201,423.66,559.72
202,282.83,832.73
203,569.63,8.54
204,23.69,227.73
205,344.18,248.86
206,734.44,47.12
207,625.2,114.67
208,162.04,877.25
209,207.21,200.6
210,121.67,698.99
211,815,795.37
212,840.63,545.53
213,681.7,544.03
214,709.1,144.69
215,876.06,897.53
216,934.63,722.54
217,326.29,10.64
218,326.88,321.8
219,520.12,540.46
220,433.13,683.71
221,140.12,838.92
222,891.58,268.94
223,315.37,93.89
224,959.11,527.35
225,961.09,649.99
226,689.61,821.78
227,550.33,727.9
228,221.65,816.1
229,126,976.44
230,56.11,960.53
231,704.42,866.57
232,259.71,442.95
233,321.68,52.98
234,208.31,210.59
235,237.7,324.52
236,305.41,819.33
237,611.16,173.8
238,20.6,451.95
239,792.14,71.94
240,542.11,524.78
241,971.56,769.01
242,783.36,278.21
243,505.09,680.19
244,490.03,67.86
245,33.4,15.29
246,116.26,138.03
247,583.26,369.63
248,866.21,931.56
249,20.13,560.69
250,448.78,926.92
251,187.73,324.64
252,108.72,299.02
253,874.84,898.14
254,808.44,427.62
255,204.11,29.25
256,670.23,464.27
257,83.07,320.48
258,137.37,848.95
259,959.63,191.79
260,486.9,566.55
261,292.31,169.21
262,689.23,879.9
263,108.93,708.92
264,287.24,899.14
265,820.54,457
266,551.09,604.79
267,882.58,892.07
268,864.36,997.22
269,118.09,814.05
270,838.78,592.71
271,671.24,806.6
272,676.84,431.69
273,216.25,638.2
274,459.28,265.87
275,581.24,427.74
276,571.04,311.8
277,765.31,935.65
278,64.97,761.96
279,383.74,936.45
280,487.7,92.12
281,16.45,935.35
282,131.06,102.86
283,235.43,791.73
284,986.01,584.09
285,200.47,731.14
286,404.91,365.53
287,602.45,220.82
288,860.34,715.55
289,240.38,294.73
290,224.83,809.58
291,747.34,177.83
292,564.37,938.77
293,725.57,461.56
294,578.74,565.29
295,934.74,309.46
296,936.08,577.82
297,682.28,810.97
298,926.78,191.89
299,841.88,988.73
300,798.78,322.32
301,751.2,764.31
302,904.06,342.41
303,277.4,614.77
304,74.55,951.67
305,319.95,77.93
306,266.88,863.25
307,206.88,131.05
308,109.2,83.89
309,774.99,154.15
310,587.42,998.27
311,515.76,112.6
312,148.34,707.96
313,904.04,583.76
314,722.12,345.15
315,450.12,449.81
316,10.7,624.66
317,695.44,211.24
318,610.12,976.66
319,69.57,149.13
320,162.67,700.95
321,929.44,153.02
322,787.76,638.45
323,478.8,668.79
324,980.9,240.65
325,568.62,122.73
326,59.57,394.44
327,920.86,192.49
328,609.96,551.29
329,121.52,460.95
330,22.61,696.32
331,240.94,915.15
332,469.66,545.74
333,966.82,84.26
334,867.34,881.7
335,73.66,153.26
336,989.17,378.82
337,748.81,585.64
338,215.45,615.48
339,741.03,97.89
340,307.49,380.59
341,562.68,684.32
342,632.2,271.75
343,455.67,441.14
344,576.66,715.18
345,469.8,223.97
346,788.59,449.59
347,768.06,556.86
348,318.01,794.87
349,942.81,532.26
350,638.94,6.86
351,865.46,136.66
352,268.27,136.31
353,27.57,997.84
354,669.46,856.44
355,4.5,78.23
356,674.53,489.45
357,861.95,340.58
358,423.08,81.53
359,1.4,998.83
360,992.89,180.6
361,736.02,731.98
362,242.48,301.29
363,704.68,888.82
364,261.26,622.35
365,916.32,848.05
366,581.82,264.15
367,14.19,686.86
368,321.87,701.24
369,347.18,478.32
370,627.6,209.02
371,915.34,354.21
372,20.39,874.84
373,299.98,844.6
374,37.51,30.24
375,67.71,687.3
376,771.09,495.06
377,595.18,127.56
378,955.62,639.45
379,876.71,182.98
380,665.06,489.67
381,620.28,90.87
382,795.4,234.94
383,635.68,242.71
384,993.02,950.97
385,618.59,128.71
386,920.49,55.01
387,221.43,783.17
388,790.86,637.45
389,710.1,201.41
390,656.61,514.61
391,81.19,995.69
392,556.99,761.63
393,849.3,780.3
394,855.47,310.19
395,46.52,911.43
396,375.33,618.46
397,391.74,119.18
398,143.93,664.4
399,784.58,339.93
400,154.3,200.87
401,754.24,388.13
402,813.51,373.42
403,730.11,518.36
404,736.23,809.02
405,880.94,930.27
406,395.74,465.78
407,247.99,312.2
408,921.36,140.43
409,71.1,231.31
410,47.97,514.21
411,551.83,965.69
412,169.38,889.89
413,759.01,735.2
414,961.85,105.7
415,219.99,29.27
416,128.91,355.32
417,776.1,770.13
418,36.56,117.07
419,252.61,190.88
420,533.05,758.85
421,699.4,898.62
422,814.58,277.02
423,990.22,963.89
424,982.27,997.42
425,693.38,476.94
426,299.81,34.68
427,481.16,543.76
428,272.8,792.62
429,916.8,504.87
430,336.78,835.99
431,324.65,287.52
432,402.27,385.36
433,606.87,32.9
434,639.66,507.62
435,862.26,92.99
436,368.69,701.37
437,74.45,577.02
438,296.1,46.9
439,550.13,2.02
440,0.77,864.56
441,981.65,569.78
442,578.18,941.09
443,722.51,398.04
444,33.38,992.64
445,946.73,526.27
446,197.21,727.33
447,30.84,52.62
448,778.27,408.3
449,111.26,439.89
450,324.63,824.69
451,225.43,242.57
452,450.37,771.83
453,265.82,673.31
454,669.81,2.54
455,646.2,859.49
456,885.51,788.42
457,519.33,587.68
458,297.22,31.84
459,237.32,775.41
460,900.33,820.63
461,601.84,793.06
462,896.08,221.55
463,631.05,230.94
464,276.44,960.22
465,464.84,945.58
466,432.69,430.24
467,542.05,120.83
468,122.87,827.11
469,319.26,963.26
470,210.8,922.12
471,329.71,241.35
472,652.34,722.43
473,589.13,700.03
474,917,400.8
475,102.62,300.16
476,280.24,376.89
477,102.27,830.54
478,673.51,346.81
479,725.86,104.95
480,204.98,438.15
481,108.51,358.59
482,185.72,882.68
483,775.67,25.15
484,619.77,225.9
485,903.23,82.48
486,496.05,378.45
487,614.33,249.11
488,346.82,571.77
489,677.48,989.24
490,160.27,560.09
491,15.68,890.22
492,341.64,106.13
493,590.98,872.03
494,731.17,551.37
495,795.64,186.11
496,336.94,886.77
497,968.37,815.54
498,598.37,211.72
499,761.66,77.66
500,824.95,689.85
501,934.42,19.4
502,150.48,968.44
503,64.51,233.82
504,304.61,974.98
505,329.65,280.94
506,505.39,299.97
507,849.99,967.35
508,257.67,339.92
509,681.98,989.92
510,229.66,941.86
511,489.32,415.48
512,325.56,507.82
513,617.13,132.85
514,619.07,450.32
515,196.57,268.68
516,780.94,743.5
517,383.87,202.01
518,227.81,55.6
519,937.44,5.64
520,694.31,647.55
521,339.03,389.4
522,294.02,824.77
523,279.95,526.26
524,237.15,19.26
525,357.19,603.64
526,851.37,331.88
527,504,916.17
528,406.98,481.09
529,882.16,900.25
530,721.2,766.66
531,130.49,738.22
532,61.16,580.83
533,27.46,564.37
534,24.57,413.79
535,293.06,26.71
536,326.15,346.66
537,221.75,242.42
538,36.77,867.86
539,981.32,488.4
540,475.25,746.23
541,599.21,675.02
542,835.22,307.56
543,31.52,268.54
544,58.46,47.16
545,868.55,516.17
546,740.11,801.41
547,327.18,242.44
548,782.83,195.13
549,869.6,56.75
550,624.7,568.41
551,259.5,512.5
552,624.88,923.91
553,288.84,533.49
554,108.73,647.82
555,188.4,387.13
556,557.98,714
557,369.36,428.33
558,287.2,98.04
559,748.11,812.96
560,594.25,817.99
561,624.98,962.2
562,698.24,782.49
563,66.49,293.81
564,902.97,418.4
565,339.63,741.59
566,484.22,606.59
567,938.73,841.26
568,417.09,589.61
569,658.29,833.23
570,676.22,822.71
571,178.42,490.25
572,333.03,238.79
573,808.33,159.16
574,689.2,494.63
575,271.56,617.13
576,335.58,132.1
577,196.69,515.62
578,40.04,991.96
579,1.93,453.44
580,801.82,943.11
581,269.99,764.02
582,720.22,723.6
583,304.01,662.57
584,291.36,740.61
585,296.26,502.65
586,604.83,528.36
587,720.7,608.64
588,508.73,237.19
589,423.76,272.11
590,115.15,708.11
591,733.78,181.58
592,364.14,440.64
593,46.44,526.41
594,370.45,729.22
595,358.96,711.29
596,953.78,884.26
597,714.99,372.68
598,832.66,227.13
599,679.64,883.25
600,194.97,37.96
601,876.91,352.06
602,518.29,281.09
603,972.09,850.16
604,740.09,542.87
605,819.16,623.47
606,333.18,814
607,941.25,824.01
608,625.63,783.89
609,869.81,885.11
610,512.27,455.11
611,271.39,601.84
612,98.63,964.85
613,506.43,32.95
614,927.13,241.77
615,852.76,687.77
616,365.69,941.19
617,520.27,59.31
618,849.61,997.15
619,943.96,165.78
620,328.8,22.04
621,31.77,643.07
622,584.16,291.89
623,967.38,872.69
624,912.66,730.47
625,411.42,903.76
626,567,125.2
627,483.14,536.54
628,833.56,158.58
629,709.49,148.35
630,752.33,266.28
631,734.4,157.04
632,172.29,426.76
633,519.84,121.38
634,382.68,44.46
635,951.52,424.34
636,32.14,194.78
637,878.9,578.86
638,180.68,948.93
639,300.18,657.35
640,583.09,691.14
641,980.61,723.61
642,615.43,522.03
643,664.47,853.74
644,208.74,465
645,345.29,281.75
646,680.82,125.18
647,841.04,163.94
648,448.44,478.08
649,189.66,458.49
650,151.33,642.2
651,900.69,520.94
652,61.35,828.97
653,406.07,947.82
654,325.49,180.13
655,67.34,411.25
656,195.19,773.33
657,445.45,725.27
658,553.26,98.65
659,796.41,732.34
660,705.88,507.57
661,513.71,815.38
662,681.85,309.05
663,874.95,72.38
664,631.98,569.93
665,933.32,831.31
666,659.61,230.34
667,548.81,676.49
668,500.47,805.52
669,625.85,547.32
670,271.31,252.86
671,871.88,228.12
672,530.93,801.23
673,2.99,418.82
674,297.07,944.09
675,248.91,926.19
676,963.52,279.12
677,129.67,887.22
678,81.68,942.52
679,513.55,846.52
680,657.27,8.19
681,802.64,777.63
682,903.86,134.55
683,495.82,854.85
684,314.48,857.87
685,875.89,568.02
686,647.53,926.71
687,144.12,35.62
688,103.52,611.63
689,950.01,172.1
690,318.77,919.65
691,375.27,627.46
692,952.3,141.08
693,554.15,693.86
694,351.13,707.4
695,546.95,994.47
696,357.14,554.84
697,430.77,319.1
698,12.43,956.25
699,309.01,180.53
700,970.79,210.89
701,84.12,600.44
702,685,837.23
703,17.99,904.66
704,459.6,801.88
705,199.61,800.91
706,626.31,997.45
707,32.31,517.96
708,461.08,756.37
709,666.31,47.86
710,213.89,524.53
711,272.77,927.7
712,8.1,959.71
713,377.4,830.48
714,673.3,180.44
715,895.1,687.85
716,99,35.66
717,81.46,631.9
718,480.91,194.54
719,117.83,314.9
720,662.69,449.68
721,893.23,75.83
722,903.54,975.92
723,952.7,832.23
724,467.87,388.69
725,116.3,837.92
726,58.66,506.56
727,993.59,925.18
728,979.95,514.04
729,584.7,924.43
730,607.78,661.37
731,745.35,834.23
732,74.69,778.84
733,993.93,901.28
734,438.59,204.72
735,341.96,310.47
736,93.34,459.2
737,906.69,486.52
738,259.11,906.09
739,411.83,49.52
740,120.14,771.14
741,696.3,89.41
742,521.97,73.88
743,970.24,680.63
744,203.82,540.84
745,346.67,512.31
746,466.65,769.97
747,141.82,945.51
748,782.28,247.1
749,854.95,655.33
750,137.35,540.19
751,28.96,193.15
752,797.18,691.84
753,840.02,401.27
754,288.81,700.8
755,139.77,644.18
756,556.57,492.94
757,982.91,844.61
758,14.65,546.7
759,105.17,58.33
760,840.65,874.53
761,937.95,937.27
762,613.8,963.79
763,527.05,65.65
764,890.78,694.29
765,530.19,386.22
766,672.41,585.75
767,541.28,393.48
768,267.21,97.14
769,814.97,436.17
770,363.47,831.55
771,391.4,571.53
772,731.1,388.11
773,271.71,449.36
774,393.04,932.77
775,571.74,808.23
776,531.19,298.05
777,555.53,655.73
778,256.31,533.65
779,165.96,360.03
780,261.75,780.73
781,782.55,158.01
782,569.15,298.29
783,538.63,931.18
784,216.84,721.6
785,53.13,897.43
786,125.81,594.81
787,63.77,749.06
788,571.69,609.14
789,432.74,126.85
790,76.4,341.65
791,45.51,642.72
792,534.38,697.43
793,803.66,448.82
794,995.77,487.78
795,850.59,62.76
796,301.97,483.86
797,758.69,330.27
798,566.51,159.36
799,190.63,72.71
